29/09/2009 38.25 0.50 54.83 4.90 1.52
22/09/2009 45.32 1.23 45.53 6.11 1.81
15/09/2009 46.79 1.19 43.79 6.31 1.93
08/09/2009 47.33 0.70 43.01 6.59 2.36
01/09/2009 47.78 0.88 42.78 6.59 1.98
25/08/2009 44.48 3.86 44.34 5.77 1.55
18/08/2009 46.72 0.94 43.54 6.92 1.89
11/08/2009 45.21 0.61 46.34 6.26 1.58
11/08/2009 41.37 0.50 50.64 5.94 1.55
04/08/2009 47.11 0.64 43.65 6.55 2.04
28/07/2009 42.66 0.68 48.40 6.12 2.14
21/07/2009 47.53 0.75 43.21 6.20 2.30
14/07/2009 42.67 0.48 48.87 6.08 1.91
07/07/2009 43.52 0.44 47.42 6.20 2.42
07/07/2009 43.70 0.71 47.15 6.65 1.79
30/06/2009 45.05 2.01 44.45 6.68 1.80
23/06/2009 44.79 0.62 45.47 7.09 2.03
02/06/2009 45.22 2.56 42.83 7.29 2.10
26/05/2009 42.12 0.70 48.58 6.70 1.91
19/05/2009 41.48 0.65 49.36 6.65 1.85
12/05/2009 45.69 0.83 44.39 6.88 2.21
05/05/2009 43.35 0.64 47.04 6.68 2.28
